Endpoint,Content-Type,Property Name,combined_unit_openapi - Type,increase_openapi - Type,q2_openapi - Type,combined_unit_openapi - Required,increase_openapi - Required,q2_openapi - Required,combined_unit_openapi - Description,increase_openapi - Description,q2_openapi - Description
POST /customers/{customerId}/token/verification,application/vnd.api+json,data,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
POST /externalAccount/archive,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /externalAccount/archive,application/json,externalAccountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /externalAccount/archive,application/json,requestingCustomerId,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /externalAccount/lock,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /externalAccount/lock,application/json,externalAccountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /externalAccount/lock,application/json,lockedReason,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /externalAccount/lock,application/json,requestingCustomerId,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /externalAccount/resendVerification,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /externalAccount/resendVerification,application/json,externalAccountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /externalAccount/resendVerification,application/json,requestingCustomerId,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /externalAccount/unlock,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /externalAccount/unlock,application/json,externalAccountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /externalAccount/unlock,application/json,requestingCustomerId,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /externalAccount/update,application/json,customField1,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /externalAccount/update,application/json,customField2,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /externalAccount/update,application/json,customField3,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /externalAccount/update,application/json,customField4,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /externalAccount/update,application/json,customField5,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /externalAccount/update,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /externalAccount/update,application/json,externalAccountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /externalAccount/update,application/json,nickname,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /externalAccount/update,application/json,requestingCustomerId,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /externalAccount/update,application/json,tag,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /externalAccount/verify,application/json,amount1,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,Value of one of the trial deposit amounts
POST /externalAccount/verify,application/json,amount2,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,Value of one of the trial deposit amounts
POST /externalAccount/verify,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /externalAccount/verify,application/json,externalAccountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /externalAccount/verify,application/json,requestingCustomerId,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /fees,application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
POST /fees/reverse,application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
POST /payments,application/vnd.api+json,data,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
POST /recurring-payments,application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
POST /recurring-repayments,application/vnd.api+json,data,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
POST /repayments,application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
POST /returns/{transactionId},application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
POST /rewards,application/vnd.api+json,data,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
POST /sandbox/atm-deposits,application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
POST /sandbox/received-ach-payment,application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
POST /sandbox/received-payments,application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
POST /stop-payments,application/json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
POST /stop-payments/{stopPaymentId},application/json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
POST /transaction/createFee,application/json,accountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transaction/createFee,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transaction/createFee,application/json,feeAmount,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transaction/createFee,application/json,feeTypeId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transaction/setAvailableDate,application/json,availableDate,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,Format is YYYY-MM-DD
POST /transaction/setAvailableDate,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transaction/setAvailableDate,application/json,transactionId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transaction/setStatus,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transaction/setStatus,application/json,status,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
POST /transaction/setStatus,application/json,transactionId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transfer/achOrigination/create,application/json,accountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transfer/achOrigination/create,application/json,amount,N/A,N/A,number,N/A,N/A,Yes,N/A,N/A,
POST /transfer/achOrigination/create,application/json,companyEntryDescription,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
POST /transfer/achOrigination/create,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transfer/achOrigination/create,application/json,dFIAccountNumber,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
POST /transfer/achOrigination/create,application/json,direction,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transfer/achOrigination/create,application/json,effectiveEntryDate,N/A,N/A,string,N/A,N/A,No,N/A,N/A,"If `effectiveEntryDate` is not provided, the transaction will be processed in the next available ACH transfer window."
POST /transfer/achOrigination/create,application/json,isPrenote,N/A,N/A,boolean,N/A,N/A,Yes,N/A,N/A,
POST /transfer/achOrigination/create,application/json,isReversal,N/A,N/A,boolean,N/A,N/A,Yes,N/A,N/A,
POST /transfer/achOrigination/create,application/json,paymentRelatedInformation,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /transfer/achOrigination/create,application/json,receiverAccountType,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transfer/achOrigination/create,application/json,receiverFIRoutingNumber,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /transfer/achOrigination/create,application/json,receiverName,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
POST /transfer/achOrigination/create,application/json,standardEntryClassCode,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
POST /transfer/achOrigination/create,application/json,tag,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /transfer/create,application/json,amount,N/A,N/A,number,N/A,N/A,Yes,N/A,N/A,
POST /transfer/create,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transfer/create,application/json,description,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /transfer/create,application/json,fromId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transfer/create,application/json,isSameDaySettle,N/A,N/A,boolean,N/A,N/A,No,N/A,N/A,
POST /transfer/create,application/json,purposeCode,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /transfer/create,application/json,tag,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /transfer/create,application/json,toCustomerId,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /transfer/create,application/json,toCustomerTag,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /transfer/create,application/json,toId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transfer/create,application/json,toTransactionTag,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /transfer/void,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transfer/void,application/json,tag,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /transfer/void,application/json,transactionId,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /transfer/wire/create,application/json,accountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transfer/wire/create,application/json,amount,N/A,N/A,number,N/A,N/A,Yes,N/A,N/A,
POST /transfer/wire/create,application/json,beneficiaryAccountNumber,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
POST /transfer/wire/create,application/json,beneficiaryAddress,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
POST /transfer/wire/create,application/json,beneficiaryCity,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
POST /transfer/wire/create,application/json,beneficiaryFIAddress,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /transfer/wire/create,application/json,beneficiaryFICity,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /transfer/wire/create,application/json,beneficiaryFIName,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /transfer/wire/create,application/json,beneficiaryFIPostalCode,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /transfer/wire/create,application/json,beneficiaryFIState,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /transfer/wire/create,application/json,beneficiaryName,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
POST /transfer/wire/create,application/json,beneficiaryPostalCode,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
POST /transfer/wire/create,application/json,beneficiaryRoutingNumber,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /transfer/wire/create,application/json,beneficiaryState,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
POST /transfer/wire/create,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /transfer/wire/create,application/json,receiverRoutingNumber,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
POST /transfer/wire/create,application/json,receiverShortName,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
POST /transfer/wire/create,application/json,senderReference,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
POST /transfer/wire/create,application/json,tag,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /users/{userId}/api-tokens,application/vnd.api+json,data,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
POST /webhooks,application/vnd.api+json,data,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
PUT /applications/{applicationId}/documents/{documentId}/back/multipart,multipart/form-data,file,string,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
PUT /applications/{applicationId}/documents/{documentId}/back/multipart,multipart/form-data,fileType,string,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
PUT /applications/{applicationId}/documents/{documentId}/multipart,multipart/form-data,file,string,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
PUT /applications/{applicationId}/documents/{documentId}/multipart,multipart/form-data,fileType,string,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
PUT /applications/{applicationId}/documents/{documentId}/verify,application/json,jobId,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
