Endpoint,Status Code,Content-Type,Property Name,combined_unit_openapi - Type,increase_openapi - Type,q2_openapi - Type,combined_unit_openapi - Description,increase_openapi - Description,q2_openapi - Description
GET /applications,default,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
GET /applications,default,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
GET /applications,default,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
GET /applications,default,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
GET /applications,default,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
GET /applications,default,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
GET /applications/{applicationId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /applications/{applicationId},200,application/vnd.api+json; charset=utf-8,included,array,N/A,N/A,,N/A,N/A
GET /applications/{applicationId}/documents,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /atm-locations,200,application/vnd.api+json; charset=utf-8,attributes,object,N/A,N/A,,N/A,N/A
GET /atm-locations,200,application/vnd.api+json; charset=utf-8,type,string,N/A,N/A,,N/A,N/A
GET /authorization-requests,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /authorization-requests/{authorizationId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /authorizations,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /authorizations/{authorizationId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /cards,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /cards,200,application/vnd.api+json; charset=utf-8,included,array,N/A,N/A,,N/A,N/A
GET /cards/{cardId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /cards/{cardId},200,application/vnd.api+json; charset=utf-8,included,array,N/A,N/A,,N/A,N/A
GET /cards/{cardId}/limits,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /cards/{cardId}/secure-data/pin/status,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /check-deposits,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /check-deposits/{checkDepositId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /check-deposits/{checkDepositId}/back,200,application/vnd.api+json; charset=utf-8,data,string,N/A,N/A,,N/A,N/A
GET /check-deposits/{checkDepositId}/front,200,application/vnd.api+json; charset=utf-8,data,string,N/A,N/A,,N/A,N/A
GET /check-payments,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /check-payments/{checkPaymentId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /counterparties,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /counterparties/{counterpartyId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /counterparties/{counterpartyId}/balance,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /customers,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /customers,200,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
GET /customers/{customerId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /disputes,200,application/vnd.api+json; charset=utf-8,attributes,object,N/A,N/A,,N/A,N/A
GET /disputes,200,application/vnd.api+json; charset=utf-8,id,string,N/A,N/A,,N/A,N/A
GET /disputes,200,application/vnd.api+json; charset=utf-8,relationships,object,N/A,N/A,,N/A,N/A
GET /disputes,200,application/vnd.api+json; charset=utf-8,type,string,N/A,N/A,,N/A,N/A
GET /disputes/{disputeId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /events,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /events/{eventId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /institutions/{routingNumber},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /payments,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /payments,200,application/vnd.api+json; charset=utf-8,included,array,N/A,N/A,,N/A,N/A
GET /payments,200,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
GET /payments/{paymentId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /payments/{paymentId},200,application/vnd.api+json; charset=utf-8,included,array,N/A,N/A,,N/A,N/A
GET /received-payments,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /received-payments,200,application/vnd.api+json; charset=utf-8,included,array,N/A,N/A,,N/A,N/A
GET /received-payments,200,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
GET /received-payments/{paymentId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /received-payments/{paymentId},200,application/vnd.api+json; charset=utf-8,included,array,N/A,N/A,,N/A,N/A
